sample,fov,corr,valid
1,1,0.7252572574957733,74072
1,2,0.6823601395524728,73237
1,3,0.9346264926370419,79251
1,4,0.8394205499259044,79550
1,5,0.8949984333398177,79859
1,6,0.8167398683294078,79269
1,7,0.9342565242062361,80365
1,8,0.8901371542748485,78005
2,1,0.8300422374841194,60405
2,2,0.7749117590229161,64914
2,3,0.8225280970807061,77260
2,4,0.7309741557730484,61858
2,5,0.6861380628409302,67606
2,6,0.89631539415665,77959
2,7,0.7497059429057469,65961
2,8,0.734488823945443,58076
3,1,0.8535528288976516,75357
3,2,0.7556489656030633,70063
3,3,0.7568419545763165,71227
3,4,0.8032003242745472,74526
3,5,0.843878531153442,77033
3,6,0.8584949491961508,78767
3,7,0.80656744712451,75535
3,8,0.8384277414167891,71605
4,1,0.8389421426311543,76335
4,2,0.9008582341732353,79292
4,3,0.9065598835342614,78934
4,4,0.889186172736456,77946
4,5,0.7665025753827533,78367
4,6,0.884123041539965,79486
4,7,0.5665155629650116,74132
4,8,0.8320470355750643,78903
5,1,0.9041731548606401,79725
5,2,0.9056333112391617,79782
5,3,0.8583417713717093,79195
5,4,0.7478279212640062,77599
5,5,0.6904733725228569,79251
5,6,0.9095112958527571,80509
5,7,0.9512072534971586,80694
5,8,0.8649403686696456,78985
6,1,0.7865354438719544,79784
6,2,0.6338664696832699,76766
6,3,0.8401798915043426,78699
6,4,0.8525798180219709,79229
6,5,0.5781270993946002,77853
6,6,0.614387227404842,77657
6,7,0.7660847594101677,78581
6,8,0.7861616922662052,78864
7,1,0.8844151599119989,75798
7,2,0.7454382387740808,73288
7,3,0.7476543903236902,70977
7,4,0.8870358056830147,74013
7,5,0.5726788111132144,76887
7,6,0.6673262825970856,75451
7,7,0.8537680719409634,80060
7,8,0.7869692453409385,79514
8,1,0.8666292530678652,78910
8,2,0.8620973340304336,79119
8,3,0.661794174998447,77882
8,4,0.7955280341789558,78471
8,5,0.9046147782180943,79781
8,6,0.6936249997007268,78015
8,7,0.5791232946523924,77648
8,8,0.7814287120687767,78783
