sample,fov,corr,valid_pillars,snr,ecc_score,defect_area
1,1,0.7252572574957733,74072,12.466532,0.696731888635265,110006
1,2,0.6823601395524728,73237,20.865372,0.339388501946471,131605
1,3,0.9346264926370419,79251,17.14536,0.968979410630643,139138
1,4,0.8394205499259044,79550,11.243931,0.9304018083488242,129897
1,5,0.8949984333398177,79859,14.108126,0.9318933092194756,93761
1,6,0.8167398683294078,79269,25.956665,0.9089782421314225,115207
1,7,0.9342565242062361,80365,21.303795,0.9635660420372179,94655
1,8,0.8901371542748485,78005,11.000568,0.9097937101566762,90040
2,1,0.8300422374841194,60405,16.238731,0.2530216063097199,96329
2,2,0.7749117590229161,64914,16.919159,0.3141912069754687,139286
2,3,0.8225280970807061,77260,17.118456,0.9646439702971283,151672
2,4,0.7309741557730484,61858,14.517401,0.13061332109587206,135367
2,5,0.6861380628409302,67606,13.609432,0.2636473498394955,73446
2,6,0.89631539415665,77959,23.20498,0.9486330778860049,89330
2,7,0.7497059429057469,65961,21.5401,0.43648915508264297,100434
2,8,0.734488823945443,58076,10.418608,0.273664901327958,77710
3,1,0.8535528288976516,75357,6.317062,0.9237097313378132,98066
3,2,0.7556489656030633,70063,7.8926826,0.6718070606889007,128250
3,3,0.7568419545763165,71227,9.16675,0.4466762681184212,105325
3,4,0.8032003242745472,74526,5.5767617,0.9067555026336562,87078
3,5,0.843878531153442,77033,5.854951,0.4029171122333662,89471
3,6,0.8584949491961508,78767,12.554997,0.8035916821691311,111841
3,7,0.80656744712451,75535,12.140851,0.8332244125668737,60359
3,8,0.8384277414167891,71605,5.3186445,0.3018526428641964,84149
4,1,0.8389421426311543,76335,8.281832,0.8834156330214613,105689
4,2,0.9008582341732353,79292,11.545737,0.9047985401358969,132448
4,3,0.9065598835342614,78934,13.8443775,0.9373950166638298,145984
4,4,0.889186172736456,77946,8.059924,0.8856368673271974,115977
4,5,0.7665025753827533,78367,14.344179,0.9470689292975751,142889
4,6,0.884123041539965,79486,23.654474,0.9671256837300712,152240
4,7,0.5665155629650116,74132,23.562578,0.3768554353177457,152162
4,8,0.8320470355750643,78903,13.726303,0.9352628363855937,132399
5,1,0.9041731548606401,79725,12.483529,0.7090450629621442,116234
5,2,0.9056333112391617,79782,19.469225,0.7838930789696958,141264
5,3,0.8583417713717093,79195,18.116552,0.739031458229079,144147
5,4,0.7478279212640062,77599,12.812273,0.9411782431338159,141749
5,5,0.6904733725228569,79251,13.3612385,0.33505183494638485,121005
5,6,0.9095112958527571,80509,21.071789,0.8728317233675165,114010
5,7,0.9512072534971586,80694,18.485891,0.689970931403897,128427
5,8,0.8649403686696456,78985,13.2025385,0.6621817699490139,116804
6,1,0.7865354438719544,79784,9.05525,0.5252022535552711,103464
6,2,0.6338664696832699,76766,14.791407,0.6288144074133012,123490
6,3,0.8401798915043426,78699,14.152591,0.591952850481544,126015
6,4,0.8525798180219709,79229,9.038569,0.4815351600633513,133982
6,5,0.5781270993946002,77853,12.562783,0.18565055068932543,100946
6,6,0.614387227404842,77657,21.062824,0.8275358796238177,116319
6,7,0.7660847594101677,78581,18.27846,0.9641566021790312,139125
6,8,0.7861616922662052,78864,10.745808,0.619489770402384,130176
7,1,0.8844151599119989,75798,5.5343018,0.8500854823309827,95148
7,2,0.7454382387740808,73288,10.871735,0.517129823217795,136933
7,3,0.7476543903236902,70977,11.394634,0.5508967498720884,96170
7,4,0.8870358056830147,74013,5.8198957,0.9137391438651806,74208
7,5,0.5726788111132144,76887,12.316698,0.3387521243364361,123764
7,6,0.6673262825970856,75451,20.487349,0.3882824154493175,152861
7,7,0.8537680719409634,80060,21.602484,0.9697822105722468,92212
7,8,0.7869692453409385,79514,12.579854,0.9512571237984451,100265
8,1,0.8666292530678652,78910,11.250549,0.4080065187809444,96103
8,2,0.8620973340304336,79119,18.197298,0.9573479084467462,109007
8,3,0.661794174998447,77882,16.205286,0.7654686939363388,134356
8,4,0.7955280341789558,78471,10.525121,0.7529683847956221,119456
8,5,0.9046147782180943,79781,15.926426,0.43095455449293996,95878
8,6,0.6936249997007268,78015,25.95946,0.9781881204338283,128396
8,7,0.5791232946523924,77648,23.317648,0.3542784107371738,130277
8,8,0.7814287120687767,78783,15.291975,0.9587580204176891,112194
