top_hat,blur,percentile,trim_ratio,true_r2,null_95,p_value,significant
15,7,99.9,0.2,0.36138944581066806,0.4963557914920884,0.139,False
31,7,99.9,0.2,0.3606179311173631,0.47790029734329204,0.141,False
31,7,99.9,0.1,0.35905800555237566,0.4825813386230912,0.145,False
15,7,99.9,0.1,0.3427727961777718,0.4930584500925894,0.158,False
31,7,99.9,0.0,0.3398763918922846,0.4748501407819492,0.158,False
51,7,99.9,0.1,0.3387441240407162,0.4776205626201366,0.161,False
51,7,99.9,0.2,0.33828283292406086,0.47625033015172297,0.16,False
51,7,99.5,0.2,0.3334575751968378,0.49816563654763085,0.157,False
31,5,99.9,0.2,0.3221796354562309,0.48663946288007726,0.173,False
51,7,99.9,0.0,0.3220073869249944,0.4794609356890146,0.181,False
51,7,99.5,0.1,0.3216539971220884,0.49824848485201484,0.171,False
31,5,99.9,0.1,0.3204576838727475,0.4827700288935468,0.17,False
15,7,99.9,0.0,0.31757407492323514,0.4922339161837777,0.184,False
51,5,99.9,0.2,0.3174235971722163,0.48725123233793327,0.178,False
31,7,99.5,0.2,0.3161492888925196,0.5089514831080992,0.171,False
51,5,99.9,0.1,0.31426339777615714,0.4820797951658778,0.181,False
31,3,99.9,0.2,0.30778752440771817,0.4903029967712674,0.192,False
31,5,99.9,0.0,0.3066016182203131,0.4909525717958555,0.199,False
51,5,99.9,0.0,0.3024373200940694,0.49335675732032047,0.199,False
31,7,99.5,0.1,0.30232266207481495,0.5020847671213532,0.197,False
15,5,99.9,0.2,0.301824290265793,0.5132905997843474,0.189,False
51,3,99.9,0.2,0.30053891697139307,0.48670890140522016,0.2,False
31,3,99.9,0.1,0.3004301009922899,0.4876488954887272,0.201,False
51,3,99.9,0.1,0.2972501097428297,0.48733015781789396,0.207,False
31,3,99.9,0.0,0.2887179296686076,0.4947384437116239,0.212,False
51,5,99.5,0.2,0.28753645456876176,0.5164579322870543,0.199,False
51,7,99.5,0.0,0.2865537323591179,0.49359585507961745,0.21,False
51,3,99.9,0.0,0.28632777151557903,0.494019613411539,0.219,False
15,5,99.9,0.1,0.28431531874904253,0.5048327659100941,0.21,False
51,5,99.5,0.1,0.27877819092284317,0.5108195559342943,0.207,False
51,3,99.5,0.2,0.26753262597661104,0.5075132509072386,0.218,False
31,7,99.5,0.0,0.2637854562670816,0.4974127896070702,0.232,False
15,5,99.9,0.0,0.26293811527124966,0.4998849749505985,0.226,False
15,3,99.9,0.2,0.26196491815967476,0.5105998826497719,0.231,False
51,3,99.5,0.1,0.2616810794951553,0.5018188193770753,0.222,False
31,5,99.5,0.2,0.26065109347459725,0.5158332044744685,0.236,False
31,5,99.5,0.1,0.24809232976976744,0.5171483614610841,0.244,False
51,5,99.5,0.0,0.24551228725891133,0.4956613224314278,0.249,False
15,3,99.9,0.1,0.2448101735960067,0.511402977504846,0.253,False
31,3,99.5,0.2,0.2388427516784825,0.5234690274843007,0.244,False
31,3,99.5,0.1,0.23184686748075262,0.5141615775412686,0.247,False
15,3,99.9,0.0,0.2256801462337504,0.4959576613198795,0.28,False
51,3,99.5,0.0,0.22454715517554324,0.4900379561450422,0.268,False
31,5,99.5,0.0,0.21336254994504925,0.5048190756740357,0.275,False
31,3,99.5,0.0,0.19996486892416615,0.4994475353870515,0.293,False
51,7,99.0,0.2,0.18964498420004205,0.5151219801552025,0.312,False
15,7,99.5,0.2,0.18782701586615555,0.5227661634576686,0.314,False
51,7,99.0,0.1,0.16413790942229575,0.5099094179005587,0.354,False
15,7,99.5,0.1,0.1607032390339426,0.5050522977443558,0.361,False
31,7,99.0,0.2,0.1467499672815077,0.5172282383790247,0.375,False
31,7,99.0,0.1,0.12878643029794332,0.5125980571673285,0.414,False
51,5,99.0,0.2,0.1273484501167527,0.5158604519562747,0.401,False
15,7,99.5,0.0,0.12443194078036754,0.49506142365919814,0.448,False
51,7,99.0,0.0,0.12110262996842804,0.4991381171570009,0.453,False
15,3,99.0,0.2,0.11910129068697313,0.5724160724101783,0.386,False
15,5,99.5,0.2,0.11428228350699964,0.5211550904123168,0.444,False
15,5,99.0,0.2,0.10812812114244971,0.6006783883541954,0.413,False
51,5,99.0,0.1,0.10753504095759361,0.5299658014978298,0.454,False
31,5,99.0,0.2,0.10470281450954706,0.5279554258476309,0.461,False
31,7,99.0,0.0,0.10353159697669428,0.5029109243239218,0.489,False
15,3,99.5,0.2,0.10336118512161305,0.5255658616429204,0.466,False
15,5,99.5,0.1,0.09757982565590266,0.5190674842149064,0.497,False
31,5,99.0,0.1,0.08808975847638516,0.5437469916418431,0.504,False
51,5,99.0,0.0,0.08560374566629737,0.5332564851546596,0.511,False
15,3,99.5,0.1,0.08536350908575403,0.5275889679856723,0.523,False
15,7,99.0,0.2,0.08162533596204774,0.5893880429502655,0.479,False
15,5,99.5,0.0,0.07435576218253953,0.5107642871214237,0.559,False
31,5,99.0,0.0,0.07316472936920197,0.5261242231837725,0.565,False
15,3,99.0,0.1,0.07114414068310915,0.5596273064528249,0.517,False
31,3,99.0,0.2,0.07077826796393205,0.5448156665946512,0.549,False
15,5,99.0,0.1,0.06790484856922957,0.5696316749541326,0.526,False
31,3,99.0,0.1,0.06085755879202822,0.5456669782212131,0.597,False
15,3,99.5,0.0,0.06058301547733375,0.530996222592602,0.594,False
31,3,99.0,0.0,0.05722146561757526,0.5210337712003924,0.612,False
51,3,99.0,0.0,0.0558029883904579,0.5435343300328388,0.615,False
51,3,99.0,0.2,0.05222952856366155,0.5494212312889933,0.599,False
15,7,99.0,0.1,0.052004356269479204,0.5923237267713706,0.607,False
51,3,99.0,0.1,0.05060205055418206,0.5525181598033854,0.622,False
15,3,99.0,0.0,0.04577625479758186,0.5434007021934936,0.616,False
15,5,99.0,0.0,0.03683109603803968,0.5541991457391336,0.66,False
15,7,99.0,0.0,0.03093308637780189,0.5586708451149441,0.699,False
