top_hat,blur,percentile,trim_ratio,true_r2,null_95,p_value,significant
15,7,99.9,0.2,0.5422004338113672,0.3600539311087294,0.009,True
15,7,99.9,0.1,0.5353726132270004,0.36531353857100624,0.01,True
15,5,99.9,0.1,0.5284512627194023,0.37782061226258196,0.013,True
15,7,99.9,0.0,0.5232086269075944,0.37125099843679077,0.01,True
15,5,99.9,0.2,0.5193387112965072,0.3706791265238421,0.013,True
15,5,99.9,0.0,0.5109730172570269,0.3774838688252285,0.012,True
31,7,99.9,0.2,0.4993951496200696,0.3692461089579618,0.017,True
31,7,99.9,0.1,0.49811793025682594,0.36765393986133243,0.021,True
51,7,99.9,0.2,0.49378886671432626,0.3615360114790558,0.021,True
51,7,99.9,0.1,0.486201314634016,0.3644873520092247,0.022,True
31,7,99.9,0.0,0.4854478900972536,0.36070176320582176,0.022,True
51,7,99.9,0.0,0.4745668227911054,0.35658532909735097,0.022,True
51,3,99.9,0.1,0.4656406610929851,0.3547857721270585,0.024,True
31,5,99.9,0.1,0.4650016326569881,0.36521511204246654,0.022,True
51,3,99.9,0.2,0.46359634503940245,0.36471449440521214,0.024,True
31,5,99.9,0.0,0.46308362872547776,0.3573412411243455,0.021,True
51,5,99.9,0.1,0.4621160153512194,0.3630363840506455,0.023,True
31,5,99.9,0.2,0.4614919858544974,0.3685164218771199,0.024,True
31,3,99.9,0.1,0.45939452464846203,0.35587809343456295,0.024,True
15,3,99.9,0.1,0.45672500425552054,0.37176660630205693,0.026,True
51,3,99.9,0.0,0.4563721861608229,0.35637163187232535,0.024,True
51,5,99.9,0.2,0.45523287229242476,0.3643981245974859,0.025,True
31,3,99.9,0.2,0.4542588029880759,0.36145956816075686,0.025,True
31,3,99.9,0.0,0.4539148079529967,0.3582062027970296,0.024,True
51,5,99.9,0.0,0.45312858556236857,0.3561041208188793,0.023,True
15,3,99.9,0.2,0.4494955506180006,0.37046578116503587,0.026,True
15,3,99.9,0.0,0.43716403363016393,0.3756736930823955,0.028,True
51,7,99.5,0.2,0.3866574489151455,0.3739766514419238,0.043,True
31,7,99.5,0.2,0.37363133095476897,0.37904010478987304,0.052,False
51,7,99.5,0.1,0.37018312284892435,0.3642714544881789,0.046,True
31,7,99.5,0.1,0.34485701178229905,0.36834707568379127,0.063,False
51,5,99.5,0.2,0.33751788004832467,0.37931059825819,0.074,False
