series_id,n_pillars,dx,dy,median_delta,trimmed_delta
0-1,654,-0.13498440412081436,0.10846900914668822,-0.115439504,-0.11645937
0-2,688,-0.02006694927308672,-0.03252512945937269,-0.17881668,-0.17169704
0-3,717,-0.03555547436940287,-0.08535716585151931,-0.099686086,-0.11918879
0-4,706,-0.02185419403463129,-0.08468442755315664,-0.07278293,-0.0758246
0-5,422,0.14631960945553146,-0.017266860216977875,-0.07899189,-0.099934235
0-6,459,0.005835547339074765,0.09105102979640378,-0.20690262,-0.19730265
0-7,394,-0.1157329258394384,-0.022932938307576478,-0.2831204,-0.2853459
0-8,412,-0.023303232453372402,0.033860432782830685,-0.31081367,-0.29370052
1-1,315,0.06929485716932504,0.028303915481501463,-0.2514215,-0.23947349
1-2,242,0.04666214070425667,0.054403424383963284,-0.31145853,-0.298043
1-3,256,0.019148423197748343,-0.05316328505000456,-0.19313377,-0.20416489
1-4,335,0.061919002675836055,-0.04733564228513387,-0.20652813,-0.24913861
1-5,487,-0.0008687987944995257,0.038612211006579855,-0.15350387,-0.16011208
1-6,165,0.10244051040729119,0.02158919317469099,-0.015363693,-0.021154797
1-7,183,-0.06946280828697127,-0.04898095821135939,-0.27858907,-0.25803536
1-8,515,0.06560169540853167,0.01752826845040545,-0.16112804,-0.14728841
10-1,314,-0.03384132203973422,0.24709541304662253,-0.09969401,-0.093814485
10-2,281,-0.10806133404912543,-0.004060859158016683,-0.19433463,-0.20244378
10-3,304,-0.029316781449097107,0.06124026106351721,-0.29898217,-0.29011786
10-4,472,-0.1296076251521754,0.0042174060007482694,-0.21783292,-0.21959414
10-5,334,0.04596449461598695,-0.1461326677681427,-0.11935353,-0.118076324
10-6,384,-0.09640713268140644,-0.01402053141464421,-0.107753634,-0.15115085
10-7,273,0.6458537311946202,0.23469994024776497,-0.037301898,-0.03930429
10-8,398,-0.03151082612976097,-0.02536704801855194,-0.24506074,-0.2646361
11-1,466,0.07163714821717804,0.00042862639213581133,-0.32737195,-0.34404552
11-2,304,-0.029548079931828397,0.13557721901474906,-0.14918575,-0.15023337
11-3,270,-0.01472563590914433,0.08587605974855705,-0.26604626,-0.2654669
11-4,426,-0.1949861688913188,0.22889801598626036,-0.12905961,-0.121804625
11-5,289,-0.08386639431819276,-0.01783849576167995,-0.3076834,-0.30568534
11-6,275,-0.04989901489352633,-0.17294975228173826,-0.11587614,-0.11548407
11-7,332,-0.06636337786903823,-0.02227418297411532,-0.25978154,-0.27379367
11-8,273,0.04807002776635727,-0.007851636860095823,-0.1838513,-0.18843974
12-1,532,-0.01207556743065652,-0.031113069305320096,-0.19858256,-0.18332185
12-2,341,-0.041989621341372185,0.022151115726387616,-0.1554296,-0.15901138
12-3,345,0.01744627551954636,0.06706709994307403,-0.27548712,-0.27666035
12-4,559,-0.003930192100142449,0.0007902165210680323,-0.2997737,-0.29242784
12-5,356,0.006964815682067638,0.018980105583182194,-0.13500258,-0.136964
12-6,413,0.06381128802831881,0.06918168850052098,-0.29676664,-0.31199694
12-7,469,-0.01573152312403181,0.07326967982908172,-0.16025233,-0.16620725
12-8,617,0.04823502638998889,-0.045820871452178835,-0.095386386,-0.09986621
13-1,442,0.13334635208559575,0.07711312611650101,-0.22442022,-0.22621448
13-2,384,-0.044014540280841175,0.03295299937542495,-0.12051362,-0.13817042
13-3,350,-0.2799138650570967,-0.0920438441346505,-0.040979236,-0.12854637
13-4,438,0.02264088707568135,0.011894831478912238,-0.17974332,-0.17919098
13-5,344,0.007894432038938248,-0.04915832744200088,-0.38206983,-0.39207783
13-6,297,-0.07783459074153143,0.004909693552349381,-0.23169404,-0.23883063
13-7,361,0.13133114897345877,0.09045194593159067,-0.24264449,-0.23474415
13-8,428,-0.038346497266729784,-0.006285215244361098,-0.33039862,-0.330916
14-1,315,0.1619430970972644,0.050518229121280456,-0.26957214,-0.2620581
14-2,394,-0.10968062157212444,-0.06065588927162935,-0.2247869,-0.21948728
14-3,466,-0.019318923469654692,-0.04011912213991309,-0.09099242,-0.09091427
14-4,407,0.04766915984816933,0.08602976616998603,-0.36075276,-0.3540648
14-5,357,0.08449308001627287,0.2327800843308978,-0.0911597,-0.11486944
14-6,340,0.07823388222277572,0.06461877861818266,-0.26613903,-0.26872677
14-7,268,0.008927574426138563,-0.026145122618117966,-0.30761346,-0.3049913
14-8,299,-0.2385820282520399,0.10263991557678764,-0.13104182,-0.18069889
2-1,443,0.25183531764264444,-0.0004247838553510519,-0.114905536,-0.1364909
2-2,347,0.06391731838289161,0.08214371671772369,-0.31569076,-0.3208643
2-3,430,-0.03800875682122751,0.1553760235790378,-0.15913573,-0.14625487
2-4,464,-0.19143547809835582,-0.05398597210751177,-0.098614246,-0.10034624
2-5,397,-0.013352163476611167,0.05378923151158688,-0.20854121,-0.20294964
2-6,197,0.0799595805547142,0.06745097385248755,-0.28923434,-0.27369666
2-7,305,0.012509702159832159,0.08347265014219829,-0.46905476,-0.36226818
2-8,296,-0.08309830953999153,0.05778041459791439,-0.23203668,-0.2323526
3-1,434,-0.05367157562318425,-0.018344428925502143,-0.09806028,-0.12985298
3-2,146,-0.05418789410578029,0.019924015449646504,-0.5320053,-0.52714366
3-3,211,0.015842534792227525,-0.025304522269607332,-0.12852234,-0.123317584
3-4,508,-0.20868550285695164,0.1525742295746113,-0.08773112,-0.08823156
3-5,310,0.01859615967771333,0.06609410792464132,-0.21965468,-0.22599642
3-6,285,-0.16997029204821956,-0.0652852558939685,-0.2919355,-0.33583355
3-7,166,-0.13060538955414813,0.1066723832631169,-0.43306395,-0.3725697
3-8,421,-0.031683081262599444,0.08785129153557136,-0.23332226,-0.24573755
4-1,410,0.015028834573627137,0.09532364780932312,-0.31118402,-0.30938664
4-2,608,-0.020740671111525444,-0.012385557081870502,-0.12881991,-0.10530186
4-3,287,-0.036121666554663534,0.04354901000135669,-0.0720278,-0.09955478
4-4,304,0.08584789196947895,-0.0643785424329053,-0.20239344,-0.20917633
4-5,390,0.04630122338335241,-0.07106882003949977,-0.35817465,-0.3539131
4-6,445,-0.0768348189255903,-0.047359104011775344,-0.21397251,-0.17799376
4-7,273,-0.09161570787955498,0.054718218533935215,-0.30434912,-0.32826108
4-8,282,-0.005794924089286724,-0.06303590462584907,-0.1484605,-0.18421632
5-1,325,5.530662997443869e-05,-0.19365430275206563,-0.21374619,-0.17240067
5-2,445,0.0845989103742113,-0.009114656388192088,-0.08024931,-0.06917922
5-3,424,-0.04514536991860041,0.018417428070506503,-0.28571004,-0.28726685
5-4,289,-0.009613405864229208,-0.09661999878380811,-0.33885336,-0.40343165
5-5,320,-0.15031804716477382,0.019319384022082886,-0.13236979,-0.114154324
5-6,294,0.09038845962027153,-0.05607028675694892,-0.306601,-0.29717708
5-7,490,0.03800920157186738,0.05502290723973147,-0.110655755,-0.1313887
5-8,306,-0.1062879666005756,0.7722980680758837,-0.10392472,-0.10732951
8-1,470,0.24017889167487283,-0.06085044772157744,-0.19051108,-0.16731916
8-2,454,0.0776928437493325,-0.0630727282650696,-0.10527775,-0.10765739
8-3,257,-0.01118576476301314,0.2529832864486252,-0.14667356,-0.13759476
8-4,323,0.0861041075254434,-0.03599736882574689,-0.31865257,-0.260697
8-5,338,0.09115198041843087,-0.05281120065842515,-0.17381442,-0.213391
8-6,334,-0.0862104085217652,-0.04508417305851253,-0.1318739,-0.13045833
8-7,242,-0.08291928736161935,-0.09447163220579569,-0.28893852,-0.31410787
8-8,388,-0.03760781525966195,-0.014024413080505838,-0.2892698,-0.29307878
